run_id,backend,iteration,cuda_ms,wall_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T182249_bf16_eager,bf16_eager,335,60.215298,60.24839,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,336,60.070911,60.099893,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,337,68.111359,68.146003,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,338,72.242172,72.288426,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,339,65.558594,65.600397,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,340,64.204803,64.242266,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,341,63.951874,63.997018,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,342,60.35968,60.392779,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,343,63.661057,63.693062,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,344,62.292992,62.327256,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,345,60.384254,60.417155,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,346,60.221439,60.252158,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,347,60.222401,60.252087,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,348,60.171169,60.19997,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,349,60.270592,60.301229,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,350,60.29517,60.326265,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,351,60.635136,60.668053,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,352,61.270016,61.298278,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,353,60.700672,60.728575,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,354,60.6208,60.647375,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,355,60.47744,60.5055,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,356,60.182529,60.210329,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,357,60.233601,60.259721,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,358,59.986942,60.013632,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,359,60.156929,60.183329,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,360,59.952129,59.983687,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,361,60.536831,60.567896,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,362,60.445663,60.477588,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,363,60.958721,60.989883,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,364,60.120064,60.152171,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,365,60.123135,60.153484,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,366,60.189697,60.217203,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,367,60.478592,60.505901,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,368,60.73856,60.765044,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,369,60.557312,60.584256,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,370,60.474369,60.500871,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,371,62.319614,62.354226,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,372,67.140579,67.176777,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,373,62.984192,63.018145,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,374,61.529087,61.56242,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,375,60.104706,60.136542,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,376,62.00013,62.031926,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,377,61.107201,61.141906,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,378,60.32896,60.361903,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,379,60.147678,60.1777,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,380,60.268543,60.301861,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,381,60.178432,60.209388,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,382,60.591103,60.622388,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,383,60.440575,60.471197,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,384,60.606464,60.637696,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,385,60.695553,60.725009,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,386,61.010944,61.042742,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,387,60.683296,60.716053,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,388,60.530689,60.561395,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,389,60.413857,60.445488,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,390,60.286976,60.319623,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,391,60.419071,60.453694,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,392,60.854271,60.89166,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,393,60.76416,60.796813,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,394,60.419071,60.452852,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,395,61.272064,61.30478,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,396,60.735489,60.770595,4014.374,4256.0
20260729T182249_bf16_eager,bf16_eager,397,62.475266,62.510639,4014.374,4256.0
