run_id,backend,denoising_steps,iteration,policy_cuda_ms,policy_wall_ms,denoiser_total_ms,per_step_mean_ms,gpu_allocated_mb,gpu_reserved_mb
20260729T183102_bf16_eager,bf16_eager,1,139,271.43561,271.51386,59.98093,59.98093,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,140,201.97136,202.04874,60.17638,60.17638,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,141,199.89812,199.97513,59.91322,59.91322,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,142,198.88608,198.96247,59.97261,59.97261,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,143,198.7818,198.85725,60.21734,60.21734,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,144,198.55769,198.663,60.02074,60.02074,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,145,272.56808,272.64778,60.00333,60.00333,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,146,199.99898,200.07608,61.07443,61.07443,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,147,198.8824,198.96482,59.9552,59.9552,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,148,202.41312,202.49797,60.95258,60.95258,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,149,209.50084,209.5803,60.30746,60.30746,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,150,199.51958,199.59922,60.46003,60.46003,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,151,200.85799,200.94898,60.04019,60.04019,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,152,206.77539,206.8623,61.95219,61.95219,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,153,200.2527,200.33453,62.336,62.336,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,154,198.90002,198.97737,60.38323,60.38323,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,155,199.06586,199.14612,60.55629,60.55629,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,156,197.45482,197.5342,60.47334,60.47334,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,157,210.08476,210.17562,63.51155,63.51155,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,158,248.28279,248.37486,62.34521,62.34521,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,159,201.25664,201.33546,60.12006,60.12006,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,160,264.0795,264.17129,60.3751,60.3751,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,161,200.89873,200.98059,60.5655,60.5655,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,162,218.38768,218.48122,70.23613,70.23613,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,163,201.7233,201.89511,61.62432,61.62432,4013.604,5294.0
20260729T183102_bf16_eager,bf16_eager,1,164,208.8187,208.91353,61.53625,61.53625,4013.604,5294.0
